Team,Jumper,Name,Games,DoB,Height,Weight,Recruited,Position
Adelaide,43,"O'Brien, Reilly",2,1995-08-20,202,101,Calder Cannons,Ruck
Adelaide,22,"Otten, Andy",106,1989-05-15,192,94,Oakleigh Chargers,Defender
Adelaide,10,"Poholke, Myles",9,1998-07-10,186,86,Dandenong Stingrays,Forward
Adelaide,11,"Seedsman, Paul",88,1992-01-22,189,87,Eastern Ranges,Midfield
Adelaide,38,"Sholl, Lachlan",0,2000-03-07,185,77,Calder Cannons,Defender
Adelaide,9,"Sloane, Rory",178,1990-03-17,182,83,Eastern Ranges,Midfield
Adelaide,33,"Smith, Brodie",146,1992-01-14,189,90,Woodville West Torrens,Defender
Adelaide,17,"Stengle, Tyson",2,1998-10-19,172,73,Woodville West Torrens,Forward
Adelaide,45,"Strachan, Kieran R",0,1995-10-05,204,95,Port Melbourne,Forward/Ruck
Adelaide,12,"Talia, Daniel",165,1991-10-02,197,98,Calder Cannons,Defender
Adelaide,13,"Walker, Taylor",168,1990-04-25,193,102,Broken Hill North,Forward
Adelaide,31,"Wilson, Patrick R",1,1994-12-11,188,89,Sturt,Midfield
Brisbane,24,"Adams, Marcus",27,1993-06-30,192,98,West Perth,Defender
Brisbane,19,"Allison, Jacob R",8,1998-04-16,194,87,Aspley,Defender
Brisbane,31,"Andrews, Harris",77,1996-12-11,201,102,Aspley,Defender
Brisbane,43,"Answerth, Noah",0,1999-08-06,184,82,Oakleigh Chargers,Defender/Midfield
Brisbane,33,"Bailey, Zac",13,1999-09-23,182,81,Norwood,Midfield/Forward
Brisbane,38,"Ballenden, Connor",0,1999-03-29,200,95,Brisbane Academy,Forward
Brisbane,4,"Bastinac, Ryan R",162,1991-06-22,184,76,Dandenong Stingrays,Midfield
Brisbane,7,"Berry, Jarrod",38,1998-02-05,193,84,North Ballarat Rebels,Midfield
Brisbane,13,"Berry, Thomas",0,2000-05-01,185,78,Gwv Rebels,Midfield
Brisbane,23,"Cameron, Charlie",85,1994-07-05,181,75,Swan Districts,Forward
Brisbane,3,"Christensen, Allen",120,1991-05-19,177,80,Geelong Falcons,Forward
Brisbane,20,"Cox, Cedric",12,1997-08-19,183,80,North Ballarat Rebels,Defender
Brisbane,26,"Cutler, Tom",63,1995-02-20,191,91,Oakleigh Chargers,Midfield
Brisbane,41,"Eagles, Matt R",4,1990-02-09,200,99,Morningside,Defender
Brisbane,47,"Fullarton, Tom R",0,1999-02-23,200,98,Brisbane Bullets,
Brisbane,27,"Gardiner, Darcy",83,1995-09-22,193,90,Geelong Falcons,Defender
Brisbane,22,"Hinge, Mitchell R",0,1998-06-26,189,85,Glenelg,Defender
Brisbane,30,"Hipwood, Eric",53,1997-09-13,203,90,Aspley,Forward
Brisbane,2,"Hodge, Luke",325,1984-06-15,185,90,Geelong Falcons,Defender
Brisbane,32,"Joyce, Tom",0,2000-03-07,181,77,East Fremantle,Midfield
Brisbane,1,"Keays, Ben",28,1997-02-23,185,82,Brisbane Reserves,Midfield
Brisbane,35,"Lester, Ryan",117,1992-08-26,192,87,Oakleigh Chargers,Defender
Brisbane,39,"Lyons, Corey",0,1998-05-31,184,83,Sandringham Dragons,Midfield
Brisbane,17,"Lyons, Jarryd",93,1992-07-22,184,84,Sandringham Dragons,Midfield
Brisbane,42,"Madden, James R",0,1999-11-15,185,84,Dublin,Midfield
Brisbane,12,"Martin, Stefan",159,1986-11-17,199,100,Sandringham,Ruck
Brisbane,36,"Mathieson, Rhys",38,1997-01-10,188,88,Geelong Falcons,Midfield/Forward
Brisbane,11,"McCarthy, Lincoln",30,1993-10-22,178,82,Glenelg,Forward
Brisbane,6,"McCluggage, Hugh",41,1998-03-03,185,83,North Ballarat Rebels,Midfield
Brisbane,45,"McFadyen, Connor",0,2000-12-04,190,92,Brisbane Academy,Midfield/Forward
Brisbane,46,"McInerney, Oscar R",17,1994-07-10,204,107,Casey Scorpions,Forward
Brisbane,25,"McStay, Daniel",80,1995-06-24,195,98,Eastern Ranges,Forward
Brisbane,9,"Neale, Lachie",136,1993-05-24,177,82,Glenelg,Midfield
Brisbane,40,"Payne, Jack",0,1999-10-15,197,95,Lions Academy,Defender
Brisbane,16,"Rayner, Cameron",23,1999-10-21,187,87,Western Jets,Forward
Brisbane,10,"Rich, Daniel",184,1990-06-07,185,88,Subiaco Football Club,Defender
Brisbane,18,"Robertson, Nicholas",68,1995-06-03,191,98,West Perth,Defender
Brisbane,5,"Robinson, Mitch",169,1989-06-07,184,90,Tassie Devils,Midfield/Forward
Brisbane,21,"Skinner, Sam",1,1997-06-29,198,96,Gippsland Power,Defender
Brisbane,44,"Smith, Archie",9,1995-07-19,202,105,Mt Gravatt,Ruck
Brisbane,8,"Smith, Ely",0,2000-09-13,188,87,Murray Bushrangers,Midfield
Brisbane,37,"Starcevich, Brandon",4,1999-07-24,187,85,East Perth,Midfield/Forward
Brisbane,28,"Taylor, Lewis",107,1995-02-17,175,79,Geelong Falcons,Forward
Brisbane,14,"Walker, Joshua",75,1992-11-12,197,100,Geelong Falcons,Defender
Brisbane,29,"Witherden, Alex",31,1998-09-10,188,85,Geelong Falcons,Defender
Brisbane,34,"Wooller, Toby",0,1999-03-16,194,87,Oakleigh Chargers,Forward
Brisbane,15,"Zorko, Dayne",145,1989-02-09,175,78,Broadbeach,Midfield
Carlton,40,"Bugg, Tomas R",96,1993-04-05,184,84,Pakenhem Upper,Midfield
Carlton,41,"Casboult, Levi",104,1990-03-15,201,103,Dandenong Stingrays,Forward
Carlton,46,"Cottrell, Matt R",0,2000-02-29,181,72,Dandenong Stingrays,Midfield/Forward
Carlton,9,"Cripps, Patrick",82,1995-03-18,195,93,East Fremantle,Midfield
Carlton,28,"Cuningham, David",17,1997-03-30,183,83,Oakleigh Chargers,Defender
Carlton,30,"Curnow, Charlie",48,1997-02-03,194,91,Geelong Falcons,Forward
Carlton,35,"Curnow, Edward",144,1989-11-07,181,86,Geelong Falcons,Midfield
Carlton,12,"De Koning, Tom",2,1999-07-16,201,92,Dandenong Stingrays,Forward/Ruck
Carlton,15,"Docherty, Sam",92,1993-10-17,187,87,Gippsland Power,Defender
Carlton,2,"Dow, Paddy",21,1999-10-16,184,80,Bendigo Pioneers,Midfield/Forward
Carlton,32,"Fasolo, Alex",102,1992-06-08,181,84,East Fremantle,Forward
Carlton,25,"Fisher, Zac",35,1998-06-15,175,72,Perth,Midfield/Forward
Carlton,21,"Garlett, Jarrod",29,1996-05-03,180,74,South Fremantle,Forward
Carlton,40,"Gibbons, Michael R",1,1995-05-15,175,75,Williamstown,Midfield
Carlton,45,"Goddard, Hugh R",10,1996-08-24,197,96,Geelong Falcons,Defender
Carlton,14,"Jones, Liam",113,1991-02-24,198,98,Scotch College,Defender
Carlton,7,"Kennedy, Matthew",31,1997-04-06,188,89,Collingullie Ashmont Kapooka,Midfield
Carlton,36,"Kerr, Pat",4,1998-07-31,197,97,Oakleigh Chargers,Forward
Carlton,8,"Kreuzer, Matthew",173,1989-05-13,200,101,Northern Knights,Ruck
Carlton,16,"Lang, Darcy",55,1995-11-21,183,82,Geelong Falcons,Midfield/Forward
Carlton,42,"LeBois, Kym R",0,1998-05-22,175,70,North Adelaide,Forward
Carlton,27,"Lobbe, Matthew",98,1989-02-12,200,96,Eastern Ranges,Ruck
Carlton,26,"Macreadie, Harrison",8,1998-04-11,196,91,Henty,Defender
Carlton,22,"Marchbank, Caleb",35,1996-12-07,193,90,Murray Bushrangers,Defender
Carlton,11,"McGovern, Mitch",49,1994-10-11,190,89,Claremont,Forward
Carlton,10,"McKay, Harry",16,1997-12-24,200,95,Gippsland Power,Forward
Carlton,3,"Murphy, Marc",250,1987-07-19,180,80,Oakleigh Chargers,Midfield
Carlton,24,"Newman, Nic",32,1993-01-15,186,84,Frankston,Defender
Carlton,4,"O'Brien, Lochie",18,1999-09-18,184,78,Bendigo Pioneers,Midfield
Carlton,38,"O'Dwyer, Finbar",0,2000-07-24,191,75,Yarrawonga Football Netball Club,Forward
Carlton,44,"Owies, Matt R",0,1997-03-19,183,82,St Kevins,Midfield/Forward
Carlton,5,"Petrevski-Seton, Sam",43,1998-02-19,180,74,Claremont,Forward
Carlton,34,"Phillips, Andrew",37,1991-07-03,203,99,Lauderdale,Ruck
Carlton,33,"Pickett, Jarrod",17,1996-08-18,178,77,South Fremantle,Forward
Carlton,20,"Plowman, Lachlan",74,1994-09-11,191,90,Calder Cannons,Defender
Carlton,29,"Polson, Cameron",13,1998-03-11,177,76,Sandringham Dragons,Forward
Carlton,19,"Schumacher, Angus",0,1999-03-16,190,84,Bendigo Pioneers,Defender
Carlton,43,"Setterfield, Will",3,1998-02-05,190,87,Sandringham Dragons,Midfield/Forward
Carlton,37,"Silvagni, Ben",0,2000-05-07,196,86,Oakleigh Chargers,Defender/Forward
Carlton,1,"Silvagni, Jack",43,1997-12-17,191,89,Oakleigh Chargers,Defender/Forward
Carlton,6,"Simpson, Kade",308,1984-05-05,181,76,Eastern Ranges,Defender
Carlton,13,"Stocker, Liam",0,2000-01-23,184,84,Sandringham Dragons,Midfield
Carlton,39,"Thomas, Dale",239,1987-06-21,185,84,Gippsland Power,Defender
Carlton,18,"Walsh, Sam",1,2000-07-02,184,77,Geelong Falcons,Midfield
Carlton,23,"Weitering, Jacob",57,1997-11-23,195,95,Mount Eliza Football Club,Defender
Carlton,31,"Williamson, Tom",15,1998-12-12,189,82,North Ballarat Rebels,Defender
Collingwood,13,"Adams, Taylor",120,1993-09-20,181,83,Geelong Falcons,Midfield
Collingwood,14,"Aish, James",69,1995-11-08,183,80,Norwood,Defender/Midfield
Collingwood,31,"Appleby, Flynn",9,1999-01-21,187,82,Greater Western Victoria Rebels,Defender
Collingwood,11,"Beams, Dayne",169,1990-02-12,187,88,Southporth Sharks,Midfield
Collingwood,40,"Bosenavulagi, Atu",0,2000-09-17,179,79,Oakleigh Chargers,Midfield/Forward
Collingwood,29,"Broomhead, Timothy",36,1994-03-22,183,85,Port Adelaide,Midfield/Forward
Collingwood,17,"Brown, Callum",14,1998-04-27,178,77,Eastern Ranges,Forward
Collingwood,34,"Brown, Tyler",0,1999-12-09,188,73,Eastern Ranges,Defender
Collingwood,46,"Cox, Mason",45,1991-03-14,211,108,Oklahoma State,Forward
Collingwood,25,"Crisp, Jack",111,1993-10-02,190,91,Murray Bushrangers,Defender
Collingwood,39,"Crocker, Ben",23,1997-02-19,188,83,Oakleigh Chargers,Forward
Collingwood,26,"Daicos, Josh",12,1998-11-26,178,77,Oakleigh Chargers,Forward
Collingwood,2,"De Goey, Jordan",72,1996-03-15,191,91,Oakleigh Chargers,Forward
Collingwood,15,"Dunn, Lynden",196,1987-05-14,192,102,Calder Cannons,Defender
Collingwood,5,"Elliott, Jamie",90,1992-08-21,178,81,Murray Bushrangers,Forward
Collingwood,6,"Goldsack, Tyson",165,1987-05-22,193,93,Gippsland,Defender
Collingwood,19,"Greenwood, Levi",135,1989-02-19,181,87,Port Adelaide Magpies,Defender
Collingwood,4,"Grundy, Brodie",109,1994-04-15,203,102,Sturt,Ruck
Collingwood,32,"Hoskin-Elliott, Will",100,1993-09-02,186,81,Western Jets,Forward
Collingwood,38,"Howe, Jeremy",163,1990-06-29,190,88,Hobart,Defender
Collingwood,47,"Keane, Mark",47,2000-03-17,194,96,Cork,
Collingwood,27,"Kelly, Will",0,2000-08-16,194,84,Oakleigh Chargers,Defender
Collingwood,8,"Langdon, Tom",81,1994-06-09,190,83,Sandringham Dragons,Defender
Collingwood,45,"Lynch, Max",0,1998-09-12,200,97,Murray Bushrangers,Ruck
Collingwood,44,"Madgen, Jack",4,1993-04-25,192,92,Mount Gambier,Defender
Collingwood,37,"Maynard, Brayden",74,1996-09-20,189,90,Sandringham Dragons,Defender
Collingwood,16,"Mayne, Christopher",197,1988-11-02,188,84,Perth,Midfield
Collingwood,41,"Mihocek, Brody",17,1993-02-04,192,94,Port Melbourne,Forward
Collingwood,30,"Moore, Darcy",55,1996-01-25,203,102,Oakleigh Chargers,Defender/Forward
Collingwood,28,"Murphy, Nathan",2,1999-12-15,190,79,Sandringham Dragons,Defender
Collingwood,9,"Murray, Samuel",13,1997-09-02,189,88,Wodonga Raiders Football Club,Defender
Collingwood,10,"Pendlebury, Scott",278,1988-01-07,191,91,Gippsland Power,Midfield
Collingwood,21,"Phillips, Tom",51,1996-05-07,187,79,Oakleigh Chargers,Midfield
Collingwood,35,"Quaynor, Isaac",0,2000-01-15,180,83,Oakleigh Chargers,Defender
Collingwood,20,"Reid, Ben",142,1989-04-29,196,98,Murray,Forward
Collingwood,23,"Roughead, Jordan",139,1990-11-03,200,100,North Ballarat Rebels,Forward/Ruck
Collingwood,12,"Scharenberg, Matthew",31,1995-09-18,191,90,Glenelg,Defender
Collingwood,22,"Sidebottom, Steele",212,1991-01-02,184,86,Murray Bushrangers,Midfield
Collingwood,36,"Sier, Brayden",12,1997-12-12,191,88,Northern Knights,Midfield
Collingwood,1,"Stephenson, Jaidyn",27,1999-01-15,188,77,Eastern Ranges,Forward
Collingwood,24,"Thomas, Josh",68,1991-10-01,178,79,Redlands Fc,Forward
Collingwood,43,"Tohill, Anton",43,1999-12-14,198,86,Derry,
Collingwood,7,"Treloar, Adam",140,1993-03-09,182,86,Aspendale,Midfield
Collingwood,18,"Varcoe, Travis",206,1988-04-10,180,83,Central District,Forward
Collingwood,3,"Wells, Daniel",257,1985-02-03,181,84,Peel Thunder,Forward
Collingwood,33,"Wills, Rupert",6,1993-05-20,192,89,Collingwood Vfl,Midfield
Essendon,29,"Ambrose, Patrick",68,1991-09-01,193,95,Old Xaverians,Defender
Essendon,12,"Baguley, Mark",125,1987-05-21,178,81,Frankston,Forward
Essendon,16,"Begley, Joshua",8,1998-07-03,188,89,Eastern Ranges,Forward
Essendon,2,"Bellchambers, Tom",114,1989-07-09,201,108,Tassie Mariners,Ruck
Essendon,28,"Brown, Mitchell",55,1990-08-28,196,95,Sandringham Dragons,Forward
Essendon,37,"Clarke, Dylan",1,1998-09-06,186,85,Eastern Ranges,Midfield
Essendon,20,"Clarke, Zachary",101,1990-03-28,203,85,Oakleigh Chargers,Ruck
Essendon,6,"Daniher, Joe",100,1994-03-04,200,95,Calder Cannons,Forward
Essendon,49,"Dea, Matthew",70,1991-10-13,186,87,North Ballarat,Defender
Essendon,38,"Draper, Sam",0,1998-09-28,203,105,South Adelaide,Ruck
Essendon,13,"Fantasia, Orazio",61,1995-09-14,177,79,Norwood,Forward
Essendon,10,"Francis, Aaron",11,1997-08-10,193,92,West Adelaide,Defender
Essendon,8,"Gleeson, Martin",69,1994-08-25,191,86,North Ballarat Rebels,Defender
Essendon,32,"Gown, Noah",0,2000-02-01,194,92,Gippsland Power,Forward
Essendon,35,"Guelfi, Matt",16,1997-08-14,183,79,Claremont,Midfield
Essendon,33,"Ham, Brayden",0,1999-04-25,181,70,Geelong Falcons,Forward
Essendon,36,"Hartley, Michael",41,1993-06-07,198,104,Sydney University,Defender
Essendon,21,"Heppell, Dyson",152,1992-05-14,189,82,Gippsland Power,Midfield
Essendon,26,"Hooker, Cale",175,1988-10-13,197,101,East Fremantle,Defender
Essendon,24,"Houlahan, Jordan",0,1999-02-19,185,76,Sturt,Forward
Essendon,18,"Hurley, Michael",161,1990-06-01,193,92,Northern Knights,Defender
Essendon,46,"Jok, Tom",0,1997-01-01,193,80,Collingwood,Midfield
Essendon,4,"Langford, Kyle",48,1996-12-01,191,90,Northern Knights,Midfield/Forward
Essendon,40,"Lavender, Luke",0,1996-07-08,200,92,South Australia,Forward
Essendon,15,"Laverde, Jayden",30,1996-04-12,191,90,Western Jets,Forward
Essendon,34,"Long, Jake",5,1996-02-03,185,81,St Marys,Midfield
Essendon,43,"McDonald-Tipungwuti, Anthony",67,1993-04-22,171,79,Gippsland Power,Forward
Essendon,1,"McGrath, Andrew",42,1998-06-02,178,80,Sandringham Dragons,Defender/Midfield
Essendon,45,"McKenna, Conor",52,1996-03-28,184,84,"Eglish, Tyrone",Defender
Essendon,44,"McKernan, Shaun",63,1990-09-01,196,100,Calder Cannons,Forward
Essendon,41,"McNiece, Ben",10,1992-03-22,178,80,Essendon VFL,Defender
Essendon,7,"Merrett, Zachary",104,1995-10-03,180,80,Sandringham Dragons,Midfield
Essendon,22,"Mosquito, Irving",0,2000-08-24,176,63,Gippsland Power,Midfield/Forward
Essendon,19,"Mutch, Kobe",3,1998-03-18,187,83,Bendigo Pioneers,Midfield
Essendon,23,"Myers, David",117,1989-06-30,191,88,Perth,Midfield
Essendon,39,"Mynott, Trent",0,1999-10-04,185,75,Eastern Ranges,Midfield
Essendon,3,"Parish, Darcy",55,1997-07-25,180,80,Geelong Falcons,Midfield/Forward
Essendon,27,"Redman, Mason",5,1997-08-26,187,87,Glenelg,Defender
Essendon,14,"Ridley, Jordan",4,1998-10-20,192,84,Oakleigh Chargers,Defender
Essendon,42,"Saad, Adam",71,1994-07-23,178,75,Coburg,Defender
Essendon,9,"Shiel, Dylan",136,1993-03-09,182,82,Aspendale,Midfield
Essendon,5,"Smith, Devon",132,1993-05-20,176,77,Geelong Falcons,Midfield/Forward
Essendon,17,"Stewart, James",45,1994-03-04,198,94,Sandringham Dragons,Forward
Essendon,25,"Stringer, Jake",110,1994-04-25,192,92,Bendigo Pioneers,Forward
Essendon,11,"Zaharakis, David",188,1990-02-21,180,79,Northern Knights,Midfield
Essendon,30,"Zerk-Thatcher, Brandon",0,1998-08-25,195,78,Sturt,Defender
Fremantle,1,"Ballantyne, Hayden",169,1987-07-16,173,79,Peel Thunder,Forward
Fremantle,41,"Banfield, Bailey",21,1998-02-26,188,88,Claremont,Midfield/Forward
Fremantle,13,"Bennell, Harley",83,1992-10-02,185,85,Peel Thunder,Midfield
Fremantle,34,"Bewley, Brett",0,1995-04-14,186,86,Williamstown,Midfield
Fremantle,19,"Blakely, Connor",46,1996-03-02,188,90,Swan Districts,Defender
Fremantle,8,"Brayshaw, Andrew",18,1999-11-08,184,84,Sandringham Dragons,Midfield
Fremantle,35,"Carter, Jason",0,2000-01-11,182,75,Port Wyndham,Defender/Midfield
Fremantle,5,"Cerra, Adam",22,1999-10-07,186,81,Eastern Ranges,Forward
Fremantle,33,"Colyer, Travis",88,1991-08-24,175,79,Claremont,Midfield/Forward
Fremantle,6,"Conca, Reece",105,1992-08-12,181,83,Perth,Midfield
Fremantle,36,"Cox, Brennan",26,1998-08-13,193,96,Wwt,Forward
Fremantle,12,"Crowden, Mitchell",9,1999-04-28,174,84,Sturt,Forward
Fremantle,4,"Darcy, Sean",16,1998-06-12,201,111,Geelong Falcons,Ruck
Fremantle,17,"Dixon, Hugh",0,1999-02-26,194,95,Tigers Football Club,Forward
Fremantle,44,"Duman, Taylin",10,1998-04-18,192,79,Oakleigh Chargers,Defender
Fremantle,7,"Fyfe, Nathan",154,1991-09-18,190,92,Claremont,Midfield
Fremantle,42,"Giro, Stefan",10,1999-03-10,175,71,Norwood,Forward
Fremantle,21,"Hamling, Joel",64,1993-04-09,194,90,Claremont,Defender
Fremantle,9,"Hill, Bradley",128,1993-07-09,181,78,West Perth,Midfield
Fremantle,32,"Hill, Stephen",203,1990-05-01,183,81,West Perth,Defender
Fremantle,11,"Hogan, Jesse",71,1995-02-12,195,100,Claremont,Forward
Fremantle,15,"Hughes, Ethan",30,1994-12-07,187,88,Swan Districts,Defender
Fremantle,40,"Jones, Scott",5,1995-05-20,203,115,East Perth,Forward/Ruck
Fremantle,22,"Kersten, Shane",66,1993-03-15,191,90,South Fremantle,Defender
Fremantle,26,"Langdon, Ed",47,1996-02-01,182,78,Sandringham Dragons,Midfield
Fremantle,37,"Lobb, Rory",75,1993-02-09,207,106,Swan Districts,Forward/Ruck
Fremantle,2,"Logue, Griffin",13,1998-04-13,193,95,Swan Districts,Defender
Fremantle,3,"Matera, Brandon",119,1992-03-11,173,74,South Fremantle,Forward
Fremantle,23,"McCarthy, Cameron",58,1995-04-01,192,92,South Fremantle,Forward
Fremantle,30,"Meek, Lloyd",0,1998-04-22,203,105,Gwv Rebels,Ruck
Fremantle,16,"Mundy, David",295,1985-07-20,192,91,Murray Bushrangers,Midfield/Forward
Fremantle,24,"North, Tom",0,1999-02-14,184,84,Eastern Ranges,Midfield
Fremantle,43,"Nyhuis, Ryan",12,1996-09-06,190,89,Nightcliff Football Club Inc,Defender
Fremantle,25,"Pearce, Alex",43,1995-06-09,200,98,Devonport,Defender
Fremantle,38,"Ryan, Luke",32,1996-02-06,186,88,Coburg,Defender
Fremantle,31,"Sandilands, Aaron",265,1982-12-06,211,118,East Fremantle,Ruck
Fremantle,28,"Schultz, Lachlan",1,1997-11-30,178,79,Williamstown,Forward
Fremantle,27,"Sturt, Sam",0,2000-05-12,189,75,Dandenong Stingrays,Forward
Fremantle,39,"Switkowski, Sam",2,1996-11-20,178,70,Box Hill Hawks,Forward
Fremantle,20,"Taberner, Matthew",63,1993-06-17,199,97,Murray Bushrangers,Forward
Fremantle,18,"Tucker, Darcy",49,1997-01-23,183,83,North Ballarat Rebels,Midfield
Fremantle,29,"Valente, Luke",0,2000-05-08,186,82,Norwood,Midfield
Fremantle,10,"Walters, Michael",130,1991-01-07,177,75,Swan Districts,Midfield/Forward
Fremantle,45,"Watson, Tobe",0,1997-12-03,190,84,Swan Districts,Defender/Midfield
Fremantle,14,"Wilson, Nathan",99,1993-01-07,185,82,WA,Defender
Geelong,45,"Abbott, Ryan",4,1991-06-25,200,100,Grovedale Tigers,Ruck
Geelong,4,"Ablett, Gary Jnr",322,1984-05-14,182,87,Geelong Falcons,Midfield
Geelong,30,"Atkins, Tom",1,1995-09-18,180,85,Geelong,Midfield
Geelong,24,"Bews, Jed",71,1993-12-14,186,88,Geelong Falcons,Defender
Geelong,46,"Blicavs, Mark",134,1991-03-28,198,100,Geelong Vfl,Defender
Geelong,20,"Brownless, Oscar",0,2000-02-16,187,77,Geelong Falcons,Midfield
Geelong,12,"Buzza, Wylie",9,1996-03-02,199,102,Mt Gravatt,Forward
Geelong,6,"Clark, Jordan",1,2000-10-16,184,78,Claremont,Defender
Geelong,5,"Cockatoo, Nakia",34,1996-10-23,186,90,Nt Thunder,Forward
Geelong,18,"Constable, Charlie",1,1999-05-18,191,86,Sandringham Dragons,Midfield
Geelong,31,"Cunico, Jordan",15,1996-05-07,185,80,Gippsland Power,Midfield
Geelong,40,"Dahlhaus, Luke",155,1992-08-21,179,77,Geelong Falcons,Midfield/Forward
Geelong,35,"Dangerfield, Patrick",225,1990-04-05,189,92,Geelong Falcons,Midfield/Forward
Geelong,22,"Duncan, Mitchell",181,1991-06-10,188,88,East Perth,Midfield
Geelong,13,"Fogarty, Lachlan",15,1999-04-01,180,76,Western Jets,Forward
Geelong,28,"Fort, Darcy",0,1993-08-06,205,98,Central District,Ruck
Geelong,29,"Guthrie, Cameron",141,1992-08-19,187,86,Calder Cannons,Defender
Geelong,39,"Guthrie, Zach",16,1998-06-30,187,76,Calder Cannons,Defender
Geelong,26,"Hawkins, Tom",233,1988-07-21,198,103,Melbourne Grammar,Forward
Geelong,25,"Henderson, Lachlan",165,1989-12-14,196,98,Geelong Falcons,Defender
Geelong,38,"Henry, Jack",23,1998-08-29,191,92,Geelong Falcons,Defender
Geelong,10,"Jarvis, Ben",0,2000-07-27,188,80,Norwood,Forward/Ruck
Geelong,41,"Jones, Jamaine",7,1998-09-29,180,81,North Ballarat Rebels,Forward
Geelong,11,"Kelly, Tim",24,1994-07-26,183,82,South Fremantle,Midfield/Forward
Geelong,21,"Kennerley, Jacob",0,2000-06-16,185,78,Norwood,Midfield
Geelong,8,"Kolodjashnij, Jake",71,1995-08-09,193,94,Launceston,Defender
Geelong,15,"Kreuger, Nathan",0,1999-06-25,196,86,South Adelaide,Forward
Geelong,27,"Menegola, Sam",54,1992-03-07,189,89,Subiaco,Midfield/Forward
Geelong,32,"Miers, Gryan",1,1999-03-30,178,78,Geelong Falcons,Forward
Geelong,19,"Narkle, Quinton",6,1997-12-03,181,80,Perth,Forward
Geelong,42,"O'Connor, Mark",8,1997-01-17,191,87,Ireland,Defender
Geelong,43,"Okunbor, Stefan",0,1998-08-12,190,87,Na Gaeil,Defender/Forward
Geelong,3,"Parfitt, Brandan",35,1998-04-27,180,79,Nt Thunder,Forward
Geelong,34,"Parsons, James",31,1997-04-12,190,82,AFL Academy,Forward
Geelong,17,"Ratugolea, Esava",9,1998-07-24,197,102,Murray Bushrangers,Forward
Geelong,23,"Rohan, Gary",107,1991-06-07,189,92,Geelong Falcons,Forward
Geelong,36,"Schlensog, Blake",0,2000-09-25,195,90,Geelong Falcons,Forward/Ruck
Geelong,14,"Selwood, Joel",273,1988-05-26,183,84,Bendigo,Midfield
Geelong,16,"Selwood, Scott",167,1990-03-27,186,88,Bendigo Pioneers,Midfield
Geelong,37,"Simpson, Sam",6,1998-06-14,180,74,Geelong Falcons,Midfield
